year,nodes,edges,communities,modularity_Q
1990,234,8235,7,0.5466322905336816
1995,234,8468,8,0.5534279331375963
2000,234,8593,10,0.5114703073806042
2005,234,8727,10,0.48840751310485353
2010,234,9013,9,0.4747562635388779
2015,234,9264,10,0.4703851062844674
2020,234,9269,8,0.4538054442283068
2024,234,9273,8,0.4704270156013086
