from_year,to_year,mean_best_jaccard,median_best_jaccard,communities_compared
1990,1995,0.7563727237385393,0.7227722772277227,7
1995,2000,0.8454424144076003,0.8940217391304348,8
2000,2005,0.8267835046333168,0.8829787234042553,10
2005,2010,0.6956338664618411,0.6845504222553402,10
2010,2015,0.8304044759703226,0.9411764705882353,9
2015,2020,0.47546166084496855,0.4014299109235818,10
2020,2024,0.6193768755931421,0.5914770191878626,8
