from_year,to_year,common_nodes,nmi,ari
1990,1995,234,0.7212269265017586,0.5910133969289988
1995,2000,234,0.8184814314128303,0.6727215453780665
2000,2005,234,0.8442599784014483,0.7995878518359253
2005,2010,234,0.7656347917783071,0.6252544130716828
2010,2015,234,0.8425812459869629,0.791265290923946
2015,2020,234,0.5928349830036712,0.41638906877967696
2020,2024,234,0.6337945103114839,0.4295087047799362
