model,feature,coefficient,abs_coefficient
linear,pair_prev_count,1.6866017890878164,1.6866017890878164
linear,year_index,-1.3806449264701712,1.3806449264701712
linear,destination_prev_total,0.6805320676997043,0.6805320676997043
linear,destination_prev_count,-0.5357254919152453,0.5357254919152453
linear,origin_prev_count,0.32715763790615154,0.32715763790615154
linear,pair_prev_total,0.22692634721690746,0.22692634721690746
linear,orig_code,0.20030375990092555,0.20030375990092555
linear,code_gap,0.16411621422901418,0.16411621422901418
linear,origin_prev_total,0.045266273947549285,0.045266273947549285
linear,dest_code,-0.0019326304620139734,0.0019326304620139734
ridge,pair_prev_count,1.686237083353993,1.686237083353993
ridge,year_index,-1.3802833151962137,1.3802833151962137
ridge,destination_prev_total,0.6805236684676927,0.6805236684676927
ridge,destination_prev_count,-0.5357177433433429,0.5357177433433429
ridge,origin_prev_count,0.3271601316804588,0.3271601316804588
ridge,pair_prev_total,0.22692538716457794,0.22692538716457794
ridge,orig_code,0.20029483452740385,0.20029483452740385
ridge,code_gap,0.16411951573749994,0.16411951573749994
ridge,origin_prev_total,0.045276539214125944,0.045276539214125944
ridge,dest_code,-0.0019336244371049207,0.0019336244371049207
lasso,pair_prev_count,1.674629369770009,1.674629369770009
lasso,year_index,-1.3686611504766402,1.3686611504766402
lasso,destination_prev_total,0.6797344893923136,0.6797344893923136
lasso,destination_prev_count,-0.5345017914077966,0.5345017914077966
lasso,origin_prev_count,0.32567964298369256,0.32567964298369256
lasso,pair_prev_total,0.2261935256669123,0.2261935256669123
lasso,orig_code,0.19943093834429354,0.19943093834429354
lasso,code_gap,0.16403475856429242,0.16403475856429242
lasso,origin_prev_total,0.04580423610018961,0.04580423610018961
lasso,dest_code,-0.0,0.0
