feature,VIF
pair_prev_count,6.53863573521705
year_index,6.531647196582966
origin_prev_count,3.5862636062370816
origin_prev_total,2.929714117287842
orig_code,2.027196441750887
dest_code,1.6428177314813364
code_gap,1.6221383412676147
destination_prev_count,1.2618739855345749
destination_prev_total,1.1090401380470316
pair_prev_total,1.0999304727120072
