model,r2,rmse,test_rows
random_forest,0.9455379017076856,0.6943641357820255,18542
lasso,0.2549495945697273,2.5682241418357363,18542
ridge,0.25419190648075385,2.569529703412081,18542
linear,0.2541681109506997,2.5695706944083687,18542
