model,feature,coefficient,abs_coefficient
lasso,pair_prev_count,1.674629369770009,1.674629369770009
lasso,year_index,-1.3686611504766402,1.3686611504766402
lasso,destination_prev_total,0.6797344893923136,0.6797344893923136
lasso,destination_prev_count,-0.5345017914077966,0.5345017914077966
lasso,origin_prev_count,0.32567964298369256,0.32567964298369256
lasso,pair_prev_total,0.2261935256669123,0.2261935256669123
lasso,orig_code,0.19943093834429354,0.19943093834429354
lasso,code_gap,0.16403475856429242,0.16403475856429242
lasso,origin_prev_total,0.04580423610018961,0.04580423610018961
lasso,dest_code,-0.0,0.0
