destination,origin,size
French Polynesia*,Australia/New Zealand,2
Finland*,Australia/New Zealand,2
Fiji,Australia/New Zealand,2
Falkland Islands (Malvinas)*,Australia/New Zealand,2
Europe and Northern America,Australia/New Zealand,2
Eswatini,Australia/New Zealand,2
Hungary,Australia/New Zealand,2
Montenegro,Australia/New Zealand,2
Mongolia,Australia/New Zealand,2
Middle-income countries,Australia/New Zealand,2
Middle Africa,Australia/New Zealand,2
Micronesia,Australia/New Zealand,2
Mexico,Australia/New Zealand,2
Melanesia,Australia/New Zealand,2
Malta,Australia/New Zealand,2
Maldives,Australia/New Zealand,2
Malaysia,Australia/New Zealand,2
Luxembourg,Australia/New Zealand,2
Lao People's Democratic Republic,Australia/New Zealand,2
Low-income countries,Australia/New Zealand,2
Low-and-middle-income countries,Australia/New Zealand,2
Low-and-Lower-middle-income countries,Australia/New Zealand,2
Lithuania,Australia/New Zealand,2
Liechtenstein,Australia/New Zealand,2
Libya,Australia/New Zealand,2
"Less developed regions, excluding least developed countries",Australia/New Zealand,2
"Less developed regions, excluding China",Australia/New Zealand,2
Less developed regions,Australia/New Zealand,2
Least developed countries,Australia/New Zealand,2
Latvia,Australia/New Zealand,2
Latin America and the Caribbean,Australia/New Zealand,2
Lower-middle-income countries,Australia/New Zealand,2
Australia/New Zealand,Eastern and South-Eastern Asia,2
Australia/New Zealand,Eastern Europe,2
Australia/New Zealand,Eastern Asia,2
Australia/New Zealand,Eastern Africa,2
Australia/New Zealand,EUROPE,2
Australia/New Zealand,Dominican Republic,2
Australia/New Zealand,Djibouti,2
Australia/New Zealand,Denmark*,2
Australia/New Zealand,Democratic Republic of the Congo,2
Australia/New Zealand,Côte d'Ivoire,2
Australia/New Zealand,Czechia,2
Australia/New Zealand,Samoa,2
Australia/New Zealand,Curaçao*,2
Australia/New Zealand,Cuba,2
Australia/New Zealand,Croatia,2
Australia/New Zealand,Costa Rica,2
Australia/New Zealand,Cook Islands*,2
Australia/New Zealand,Congo,2
Australia/New Zealand,Colombia,2
Australia/New Zealand,"China, Taiwan Province of China",2
Australia/New Zealand,"China, Macao SAR",2
Australia/New Zealand,"China, Hong Kong SAR",2
Australia/New Zealand,China,2
Australia/New Zealand,Chile,2
Australia/New Zealand,Cyprus,2
Australia/New Zealand,Guyana,2
Australia/New Zealand,Guinea,2
Australia/New Zealand,Guatemala,2
Australia/New Zealand,Guam*,2
Australia/New Zealand,Grenada,2
Australia/New Zealand,Greece,2
Australia/New Zealand,Gibraltar*,2
Australia/New Zealand,Ghana,2
Australia/New Zealand,Germany,2
Australia/New Zealand,Georgia,2
Australia/New Zealand,Gambia,2
Australia/New Zealand,Ecuador,2
Australia/New Zealand,French Polynesia*,2
Australia/New Zealand,France*,2
Australia/New Zealand,Finland*,2
Australia/New Zealand,Fiji,2
Australia/New Zealand,Falkland Islands (Malvinas)*,2
Australia/New Zealand,Europe and Northern America,2
