destination,migrant_stock
United States of America*,320880818.0
Germany,94289516.0
Russian Federation,82223101.0
Saudi Arabia,70146535.0
France*,57905338.0
United Kingdom*,57726926.0
Canada,52940780.0
India,46975798.0
Australia*,45807027.0
Ukraine*,43438116.0
Spain*,36658796.0
United Arab Emirates,36336119.0
Pakistan,32136721.0
Italy,31772125.0
Jordan,25037375.0
