year,count,total,mean,median
1990,8235,153916063.0,18690.47516697025,286.0
1995,8468,163176002.0,19269.721539914975,316.0
2000,8593,174566152.0,20314.925171651343,351.0
2005,8727,192788721.0,22091.064627019594,401.0
2010,9013,221020392.0,24522.400088760678,445.0
2015,9264,250042020.0,26990.718911917098,448.0
2020,9269,275284032.0,29699.431653900097,537.0
2024,9273,304021813.0,32785.701822495415,585.0
