origin,migrant_stock
Others,145449009.0
India,93449493.0
Mexico,79794112.0
Russian Federation,75219369.0
China,63231288.0
Bangladesh,51727456.0
Ukraine*,45866887.0
Afghanistan,43546751.0
Pakistan,37398748.0
Philippines,36530858.0
United Kingdom*,34662844.0
Germany,33851505.0
Poland,26932315.0
Kazakhstan,26432630.0
Syrian Arab Republic,26395362.0
