year,country,in_degree,out_degree,betweenness,pagerank,degree,in_strength,out_strength
2024,United States of America*,0.2575107296137339,0.6909871244635193,0.0,0.11512246480100155,221,52375047.0,3186999.0
2024,Australia*,0.8497854077253219,0.41201716738197425,0.09369175209692451,0.06390909118951844,294,8111404.0,430718.0
2024,United Kingdom*,0.15450643776824036,0.6051502145922747,0.0,0.04881225283107114,177,11845479.0,4804944.0
2024,Canada,0.5579399141630901,0.49356223175965663,0.040977011494252875,0.038211537856589595,245,8805839.0,1347381.0
2024,Germany,0.12017167381974249,0.5278969957081545,0.0,0.033714787158719464,151,16750084.0,4297233.0
2024,France*,0.2317596566523605,0.5708154506437768,0.0,0.030937205042461762,187,9186757.0,2547158.0
2024,Mexico,0.34334763948497854,0.23605150214592274,0.004885057471264368,0.028756599015675264,135,1726089.0,11596529.0
2024,Spain*,0.20600858369098712,0.37339055793991416,0.0,0.02418564636242714,135,8870527.0,1623550.0
2024,Italy,0.6137339055793991,0.4592274678111588,0.004310344827586207,0.023505155767329537,250,6553671.0,2941444.0
2024,New Zealand*,0.21030042918454936,0.26180257510729615,0.0,0.020408044977988486,110,1467989.0,679772.0
2024,Switzerland,0.19742489270386265,0.3261802575107296,0.0,0.014489744750579042,122,2773840.0,512547.0
2024,Türkiye,0.19313304721030042,0.34763948497854075,0.0,0.013716090028664609,126,7083501.0,3130337.0
2024,Sweden,0.24034334763948498,0.26180257510729615,0.0,0.012623851150636637,117,2272158.0,223508.0
2024,Netherlands*,0.1759656652360515,0.38197424892703863,0.0,0.011530946289227337,130,2956518.0,631391.0
2024,Belgium,0.3605150214592275,0.3133047210300429,0.0,0.011190884951813189,157,2349032.0,521884.0
2024,Norway*,0.8755364806866953,0.18454935622317598,0.024999999999999998,0.009220522575444952,247,1012404.0,120891.0
2024,South Africa,0.5150214592274678,0.3133047210300429,0.07554753028890959,0.009194339641140376,193,2631100.0,1005800.0
2024,China,0.4206008583690987,0.6051502145922747,0.0165715284249767,0.009006986457942909,239,1638718.0,11701619.0
2024,Denmark*,0.8283261802575107,0.23605150214592274,0.1007183908045977,0.008992437952028299,248,847475.0,124665.0
2024,Guam*,0.05150214592274678,0.02575107296137339,0.0,0.008528927074090972,18,84159.0,1179.0
2024,Greece,0.7811158798283262,0.2446351931330472,0.07509125504815159,0.008443437309085694,239,1423964.0,780112.0
2024,Japan,0.2575107296137339,0.37339055793991416,0.0,0.008349705679038076,147,3409529.0,1008173.0
2024,Israel,0.30472103004291845,0.2532188841201717,0.0042520969245107175,0.008257859598438975,130,2091569.0,324804.0
2024,Poland,0.2703862660944206,0.3218884120171674,0.0042520969245107175,0.008109214659195615,138,1739901.0,4572613.0
2024,Ireland,0.11587982832618025,0.2532188841201717,0.0041954022988505745,0.0074614671797194835,86,1216237.0,714405.0
2024,Portugal,0.5536480686695279,0.2918454935622318,0.09179597701149424,0.007458039774643374,197,1127184.0,1799179.0
