country,degree,betweenness,closeness,pagerank
Afghanistan,0.30042918454935624,5.549800207192541e-05,0.3411420204978038,0.0006564388488673363
Australia,1.261802575107296,0.09100747373094568,0.8694029850746269,0.06390909118951844
Austria,0.45493562231759654,0.0,0.5319634703196348,0.007124692432513677
Azerbaijan,0.24892703862660945,0.0,0.4894957983193277,0.0008474192831164363
Bahrain,0.2446351931330472,0.004291845493562232,0.45155038759689925,0.0015430340918768525
Belarus,0.4248927038626609,0.002993808889546643,0.5574162679425837,0.0015150915307389394
Belgium,0.6738197424892703,0.0,0.6020671834625323,0.011190884951813189
Bolivia (Plurinational State of),0.8068669527896996,0.18003058556558635,0.728125,0.0019453401842110395
Brazil,0.7939914163090128,0.008512776873365891,0.6472222222222223,0.005776996227310724
Bulgaria,1.0128755364806867,0.09965344580928416,0.803448275862069,0.0022226483061949
Canada,1.0515021459227467,0.041882492230279705,0.6893491124260355,0.038211537856589595
China,1.0257510729613735,0.016325662276158056,0.628032345013477,0.009006986457942909
Colombia,0.48068669527896996,0.004227097824478319,0.5587529976019184,0.0038987304699974017
Costa Rica,0.8197424892703863,0.1834538873267229,0.744408945686901,0.0030851761044507
Cyprus,0.7253218884120172,0.1575079547136303,0.7125382262996942,0.0020885588318013447
Denmark,1.0643776824034334,0.11315734300231858,0.8472727272727273,0.008992437952028299
Ecuador,0.38626609442060084,0.0,0.548235294117647,0.001937682775487802
Egypt,0.6223175965665236,0.01585392925854669,0.5796019900497512,0.0023926196477644136
Estonia,0.7725321888412017,0.19260057471264372,0.7213622291021672,0.0011941753311252362
Finland,0.9656652360515021,0.05140348280795225,0.803448275862069,0.004442561217839161
France,0.8025751072961373,0.0,0.5381062355658198,0.030937205042461762
Georgia,0.36909871244635195,0.0021289650239258054,0.530751708428246,0.0007157929688597859
Germany,0.648068669527897,0.0,0.5032397408207343,0.033714787158719464
Greece,1.0257510729613735,0.08868734892210546,0.8175438596491228,0.008443437309085694
Guinea,0.7081545064377682,0.1532555744659859,0.6773255813953488,0.0017512137765484186
Hungary,1.0171673819742488,0.13613659908243292,0.823321554770318,0.003425485329554975
Iceland,0.7682403433476395,0.036741218982783284,0.7467948717948718,0.0018058401233230841
India,0.721030042918455,0.009027675003699866,0.5259593679458239,0.005489478579059137
Indonesia,0.39914163090128757,0.0004994820186473287,0.4957446808510638,0.0022082499684779565
Iran (Islamic Republic of),0.33047210300429186,5.549800207192541e-05,0.35901386748844377,0.0009502044080095562
Iraq,0.3648068669527897,0.02118173745745153,0.4175627240143369,0.0008993088039720154
Israel,0.5579399141630901,0.004402841497706082,0.5796019900497512,0.008257859598438975
Italy,1.0729613733905579,0.004328844161610182,0.7169230769230769,0.023505155767329537
Japan,0.630901287553648,7.399733609590054e-05,0.5574162679425837,0.008349705679038076
Kazakhstan,0.31759656652360513,0.0002034926742637265,0.46047430830039526,0.002450670412864358
Kuwait,0.2832618025751073,0.0,0.45155038759689925,0.0037128958725093095
Latvia,0.6652360515021459,0.15686633614523207,0.6563380281690141,0.001023229595691105
Libya,0.5579399141630901,0.016834393961817375,0.5989717223650386,0.004473851514720107
Liechtenstein,0.51931330472103,0.28332593359972374,0.6472222222222223,0.001123130443409647
Lithuania,0.7296137339055794,0.05016711065068324,0.6812865497076024,0.0012411871258378028
Luxembourg,0.8884120171673819,0.05049393221844013,0.8090277777777778,0.003311861711730941
Malaysia,0.33476394849785407,0.0007214740269350303,0.49469214437367304,0.004802402443879608
Mali,0.4291845493562232,0.0,0.5456674473067916,0.006032964572287599
Mexico,0.5793991416309013,0.0015724433920378865,0.6020671834625323,0.028756599015675264
Namibia,0.45064377682403434,0.03604903556805288,0.6036269430051814,0.0013135148314284513
Netherlands,0.5579399141630901,0.0,0.5319634703196348,0.011530946289227337
New Zealand,0.4721030042918455,0.0,0.5344036697247706,0.020408044977988486
Nicaragua,0.40772532188841204,7.399733609590054e-05,0.5534441805225653,0.0015029530935887951
Norway,1.0600858369098713,0.01938730205712594,0.8859315589353612,0.009220522575444952
Pakistan,0.40772532188841204,0.008565191653100488,0.40663176265270506,0.0012058876537755512
Qatar,0.2532188841201717,0.0042548468255142816,0.45155038759689925,0.002461972337041359
Russian Federation,0.6008583690987125,0.004125351487346455,0.5235955056179775,0.007170838317973502
Saudi Arabia,0.2875536480686695,0.0,0.39829059829059826,0.0069564475570353355
Slovakia,0.8798283261802575,0.06394448966503873,0.7740863787375415,0.0019588311056670748
Slovenia,0.7896995708154506,0.0009773814809333529,0.7373417721518988,0.0013776539638235465
South Africa,0.8283261802575107,0.07931281140545608,0.667621776504298,0.009194339641140376
Sri Lanka,0.4592274678111588,0.06375332988012432,0.544392523364486,0.0013585712010172665
Sweden,0.5021459227467812,0.0,0.544392523364486,0.012623851150636637
Switzerland,0.5236051502145923,0.0,0.5381062355658198,0.014489744750579042
Syrian Arab Republic,0.3648068669527897,0.0,0.3236111111111111,0.0014931594809794433
Tajikistan,0.2875536480686695,0.013079029154950421,0.5098468271334792,0.0008769439048812876
Turkmenistan,0.18454935622317598,0.008565191653100488,0.3752012882447665,0.000774752787094401
Türkiye,0.5407725321888412,0.0,0.516629711751663,0.013716090028664609
Ukraine,0.45493562231759654,0.0,0.4874476987447699,0.004553091600354804
United Arab Emirates,0.296137339055794,0.0,0.45155038759689925,0.0070675578499095415
United Kingdom,0.759656652360515,0.0,0.5189309576837416,0.04881225283107114
United States of America,0.9484978540772532,0.0,0.5547619047619048,0.11512246480100155
Albania,0.2017167381974249,0.0,0.4678714859437751,0.0010456217180524008
Chile,0.6437768240343348,0.0,0.6229946524064172,0.0053446914078845355
Croatia,0.49356223175965663,0.004291845493562232,0.5810473815461347,0.0019337796173487965
Malta,0.45493562231759654,0.0,0.5943877551020408,0.00506544854520667
Montenegro,0.22317596566523606,0.0,0.5189309576837416,0.0008239340401980886
North Macedonia,0.2446351931330472,0.004291845493562232,0.4936440677966102,0.000905586000269234
Portugal,0.8454935622317596,0.09566159784914409,0.6852941176470588,0.007458039774643374
Romania,0.41630901287553645,0.003921858813082729,0.5076252723311547,0.0038465465980432106
San Marino,0.07296137339055794,0.0,0.4355140186915888,0.0006760996347706551
Serbia,0.3562231759656652,0.016806644960781412,0.530751708428246,0.0027528362220461443
Venezuela (Bolivarian Republic of),0.7253218884120172,0.002038009964974594,0.6526610644257703,0.004262147769499117
Algeria,0.34334763948497854,9.249667011987568e-05,0.4524271844660194,0.0014218436448429769
Argentina,0.5879828326180258,0.0900485915840363,0.5869017632241813,0.006692284651043763
Cuba,0.41630901287553645,0.05441579103152285,0.5235955056179775,0.0006549709306246651
French Guiana,0.12017167381974249,0.0,0.46506986027944114,0.0036878236073755264
French Polynesia,0.12446351931330472,0.004634083173005772,0.4968017057569296,0.0019830385155018343
Gabon,0.24892703862660945,0.030819890483942576,0.5010752688172043,0.0023089876641234
